"n" "year" "YearlyMeanReproductiveSuccess" "SEM" "lowerIC" "upperIC"
"17" "MalesAllSampled" "1.20559705882353" "0.149313113400387" "0.911764705882353" "1.5"
"17" "Males2013Sampled" "1.88671176470588" "0.354536794222229" "1.23529411764706" "2.58823529411765"
"17" "Males2014Sampled" "1.06095294117647" "0.243513805270961" "0.588235294117647" "1.52941176470588"
"17" "Males2015Sampled" "0.937911764705882" "0.254160444507919" "0.470588235294118" "1.47058823529412"
"17" "Males2016Sampled" "0.937188235294118" "0.269719228552711" "0.470588235294118" "1.47058823529412"
"273" "FemalesAllSampled" "0.529133608058608" "0.0177907144591627" "0.493589743589744" "0.564102564102564"
"273" "Females2013Sampled" "0.721527106227106" "0.0405212657126417" "0.644688644688645" "0.802197802197802"
"273" "Females2014Sampled" "0.472428937728938" "0.0335719783946948" "0.406593406593407" "0.538461538461538"
"273" "Females2015Sampled" "0.439342490842491" "0.0333639628979408" "0.373626373626374" "0.505494505494505"
"273" "Females2016Sampled" "0.483955677655678" "0.0321980002442266" "0.421245421245421" "0.545787545787546"
