"offspring" "father" "distance"
"M831" "M1079" 37.9969840961326
"M815" "M831" 19.2931722976415
"M1979" "M811" 32.8431564531087
"M809" "M244" 12.4683596594172
"M1106" "M811" 14.011732679521
"PP3" "M1551" 19.0134279253138
"M1975" "M831" 30.708499740568
"M831" "M1106" 19.856672091426
"M831" "M1975" 30.708499740568
"M1102" "M813" 21.495518657887
"PP3" "M831" 20.5232527062986
"PP3" "M813" 7.94720761723939
"M831" "M1102" 5.54589496097235
"M1102" "M1102" 0
"M809" "M813" 5.12703685774854
"M813" "M809" 5.12703685774854
"M1975" "M244" 24.4286741605974
"M1106" "M1979" 18.9465109772316
"M815" "M831" 19.2931722976415
"M813" "M1079" 50.3723815805182
"M813" "M831" 16.7784938898924
"M1979" "M811" 32.8431564531087
"M1979" "M831" 37.8443330066904
"M831" "M1106" 19.856672091426
"M1102" "M244" 7.83777558222255
"M811" "PP1" 13.2396632190457
"M1079" "M813" 50.3723815805182
"M1102" "M244" 7.83777558222255
"M813" "M831" 16.7784938898924
"M831" "M831" 0
"M1106" "M811" 14.011732679521
"M831" "M244" 8.30789714020571
"M1079" "M1102" 32.6443132842583
"M813" "PP1" 6.53572273152849
"M1079" "M813" 50.3723815805182
"M244" "M831" 8.30789714020571
"M1113" "M831" 19.6655651724171
"M831" "PP1" 19.9510751901992
"M831" "M831" 0
"M831" "PP1" 19.9510751901992
"M809" "M831" 11.7162865951159
"M1975" "M1106" 13.9368197869525
"M831" "M811" 11.6637467327904
"M1106" "M244" 16.6865836824217
"M811" "M1975" 27.7110575189975
"M811" "M831" 11.6637467327904
"M813" "M1551" 13.9565802132543
"PP3" "M244" 17.3658010941018
"M1106" "PP1" 1.49482186150384
"M1113" "M1112" 4.32504875207697
"M1102" "PP1" 23.6158002264732
"M811" "M831" 11.6637467327904
"M831" "M1079" 37.9969840961326
"M831" "M831" 0
"M1979" "M831" 37.8443330066904
"M1079" "PP3" 48.3881871204452
"M809" "CXSGT" 42.3933137125432
"M811" "M831" 11.6637467327904
"M831" "M831" 0
"M831" "M1551" 4.10018723290228
"M1102" "M244" 7.83777558222255
"M811" "M831" 11.6637467327904
"M1975" "M1975" 0
"M813" "M1102" 21.495518657887
"PP1" "M1975" 15.0921392726624
"M811" "M1102" 17.0842971814746
"M1975" "PP3" 13.6591725309532
"M811" "M1102" 17.0842971814746
"M813" "M811" 7.3234175609759
"M811" "M813" 7.3234175609759
"M815" "M831" 19.2931722976415
"M244" "M1112" 21.3472327000986
"PP3" "M1102" 23.9162237629458
"M809" "M1551" 9.25024798792298
"M831" "M831" 0
"M1113" "M809" 9.71938617752328
"M831" "M831" 0
"M244" "PP3" 17.3658010941018
"M831" "M1106" 19.856672091426
"M1979" "M831" 37.8443330066904
"M809" "M815" 8.12584138208218
"M831" "M831" 0
"M813" "M813" 0
"M809" "M811" 5.04395856330814
"M813" "M1113" 6.34904164407711
"M1975" "M831" 30.708499740568
"M811" "M831" 11.6637467327904
"M831" "M1975" 30.708499740568
"M811" "M244" 15.426762388756
"M811" "M1113" 8.06088759481384
"M811" "M831" 11.6637467327904
"M813" "M1975" 21.6040948177284
"M1551" "M1106" 18.3934698808462
"M809" "PP3" 10.1137000049714
"M831" "PP3" 20.5232527062986
"M1975" "M1975" 0
"M831" "M831" 0
"M811" "PP1" 13.2396632190457
"PP3" "M1106" 0.688501335647245
"M1979" "M831" 37.8443330066904
"M831" "M244" 8.30789714020571
