"offspring" "father"
2247 1837
1002 2387
3699 139
3094 1389
2653 1837
3112 139
2859 139
2052 3571
2065 2599
3355 1501
1213 2599
3056 112
765 3571
2904 1389
462 245
1008 2599
950 2387
3955 1501
2706 2599
1952 245
2306 1097
2888 112
2307 1389
2693 112
275 1389
3461 1501
2289 1389
3612 139
4043 1837
2841 139
884 2387
2637 1837
2218 245
2936 1501
3631 245
2080 1097
4029 1097
1200 1837
2985 2387
3370 1501
942 1389
1061 1504
806 298
1367 1837
813 2599
2162 1504
964 1504
1365 1073
1627 1504
3672 298
594 298
2660 298
1631 139
770 1073
2234 139
