"offspring" "father" "distance"
"M831" "PP3" 20.5232527062986
"M831" "M1079" 37.9969840961326
"M1975" "M813" 21.6040948177284
"M811" "M811" 0
"M811" "M811" 0
"M809" "M1975" 22.8857382065525
"M1106" "PP3" 0.688501335647245
"PP3" "M811" 14.4642104425641
"M1079" "M1102" 32.6443132842583
"M831" "M809" 11.7162865951159
"M1975" "PP1" 15.0921392726624
"M1979" "M1102" 39.9837394549672
"M1112" "M244" 21.3472327000986
"PP1" "M809" 9.11055069512377
"M831" "M1102" 5.54589496097235
"PP3" "M815" 10.2597813910671
"M831" "M831" 0
"M831" "M813" 16.7784938898924
"M1079" "M809" 45.9063239846174
"M1975" "M811" 27.7110575189975
"M1975" "M1975" 0
"M1975" "M815" 23.7121027109289
"M244" "M244" 0
"M815" "M1112" 7.05173232994021
"M1106" "M831" 19.856672091426
"M813" "M831" 16.7784938898924
"PP3" "M809" 10.1137000049714
"M813" "M1979" 25.8836108624991
"M1979" "M813" 25.8836108624991
"M1979" "M811" 32.8431564531087
"M831" "M831" 0
"M1106" "M811" 14.011732679521
"M1079" "M1113" 55.5922883933455
"M809" "M815" 8.12584138208218
"M1551" "PP1" 18.1927227241332
"M1102" "M831" 5.54589496097235
"M1106" "M813" 7.69070732401602
"M244" "M831" 8.30789714020571
"M1113" "M1975" 27.134496683809
"M1975" "PP3" 13.6591725309532
"M831" "M809" 11.7162865951159
"M831" "PP1" 19.9510751901992
"M244" "M831" 8.30789714020571
"M831" "M831" 0
"M1979" "PP1" 19.6036086151004
"M811" "M831" 11.6637467327904
"M1102" "M1106" 23.2286243111935
"M831" "M813" 16.7784938898924
"M1551" "M831" 4.10018723290228
"M831" "M831" 0
"M1975" "M1102" 32.2237524733374
"M831" "M1079" 37.9969840961326
"M1106" "M831" 19.856672091426
"M1079" "M1079" 0
"M1079" "PP3" 48.3881871204452
"M1113" "M831" 19.6655651724171
"M811" "M831" 11.6637467327904
"M811" "M244" 15.426762388756
"M831" "CXSGT" 34.9001943046478
"M831" "M831" 0
"M1106" "M244" 16.6865836824217
"M809" "M811" 5.04395856330814
"M811" "M1551" 7.92123390505027
"M831" "M1975" 30.708499740568
"M831" "M244" 8.30789714020571
"M1979" "M831" 37.8443330066904
"M831" "M1113" 19.6655651724171
"PP1" "M1106" 1.49482186150384
"M811" "M1551" 7.92123390505027
"M1551" "M1102" 9.63787106891374
"M1106" "M809" 9.56349995415966
"M244" "M809" 12.4683596594172
"M831" "M831" 0
"M1106" "M831" 19.856672091426
"M1113" "PP3" 13.6645980697985
"M831" "M813" 16.7784938898924
"M244" "M1975" 24.4286741605974
"M1106" "M831" 19.856672091426
"M1102" "M244" 7.83777558222255
"M813" "M831" 16.7784938898924
"M244" "CXSGT" 29.964056248578
"M809" "M831" 11.7162865951159
"M813" "M1102" 21.495518657887
"M815" "PP1" 8.80214970369225
"M244" "M831" 8.30789714020571
"M1106" "M1102" 23.2286243111935
"M244" "M1106" 16.6865836824217
"M244" "M1975" 24.4286741605974
"M831" "M815" 19.2931722976415
"M809" "M813" 5.12703685774854
"M813" "M809" 5.12703685774854
"M811" "M1551" 7.92123390505027
"M815" "M813" 3.52767083150872
"M813" "M831" 16.7784938898924
"M1106" "M1102" 23.2286243111935
"M831" "M831" 0
"M811" "M1102" 17.0842971814746
"M244" "M813" 17.1306521558171
