  4     1452   (25)   15 :  0.069 0.168 0.046 0.056 0.032 0.027 0.041 0.158 0.092 0.042 0.042 0.037 0.039 0.036 0.039 0.033 0.044     (0.000,0.320) (0.000,0.631) (0.000,0.229) (0.000,0.278) (0.000,0.161) (0.000,0.137) (0.000,0.204) (0.000,0.598) (0.000,0.414) (0.000,0.209) (0.000,0.212) (0.000,0.187) (0.000,0.195) (0.000,0.183) (0.000,0.194) (0.000,0.165) (0.000,0.220) 
 15     1778    (0)   12 :  0.041 0.033 0.053 0.061 0.102 0.056 0.067 0.041 0.042 0.046 0.067 0.070 0.073 0.063 0.069 0.059 0.058     (0.000,0.203) (0.000,0.164) (0.000,0.266) (0.000,0.300) (0.000,0.459) (0.000,0.277) (0.000,0.331) (0.000,0.208) (0.000,0.208) (0.000,0.228) (0.000,0.330) (0.000,0.345) (0.000,0.359) (0.000,0.311) (0.000,0.339) (0.000,0.292) (0.000,0.287) 
 18      694    (0)    7 :  0.044 0.055 0.074 0.046 0.051 0.074 0.101 0.046 0.031 0.090 0.063 0.054 0.051 0.042 0.088 0.043 0.047     (0.000,0.218) (0.000,0.266) (0.000,0.361) (0.000,0.232) (0.000,0.254) (0.000,0.358) (0.000,0.461) (0.000,0.232) (0.000,0.153) (0.000,0.423) (0.000,0.310) (0.000,0.272) (0.000,0.256) (0.000,0.208) (0.000,0.419) (0.000,0.214) (0.000,0.238) 
 21       25    (0)    9 :  0.036 0.080 0.062 0.035 0.048 0.051 0.048 0.080 0.197 0.052 0.048 0.046 0.044 0.043 0.052 0.038 0.040     (0.000,0.180) (0.000,0.376) (0.000,0.307) (0.000,0.177) (0.000,0.243) (0.000,0.254) (0.000,0.239) (0.000,0.377) (0.000,0.647) (0.000,0.259) (0.000,0.239) (0.000,0.231) (0.000,0.220) (0.000,0.218) (0.000,0.261) (0.000,0.189) (0.000,0.202) 
 26     3372    (0)    3 :  0.036 0.026 0.055 0.049 0.057 0.037 0.062 0.045 0.154 0.057 0.052 0.061 0.054 0.066 0.091 0.050 0.049     (0.000,0.180) (0.000,0.130) (0.000,0.273) (0.000,0.241) (0.000,0.280) (0.000,0.186) (0.000,0.305) (0.000,0.216) (0.000,0.500) (0.000,0.279) (0.000,0.257) (0.000,0.299) (0.000,0.270) (0.000,0.315) (0.000,0.415) (0.000,0.248) (0.000,0.244) 
 33     1086    (0)    8 :  0.035 0.065 0.052 0.073 0.052 0.060 0.047 0.087 0.051 0.051 0.059 0.051 0.052 0.068 0.055 0.068 0.073     (0.000,0.176) (0.000,0.311) (0.000,0.260) (0.000,0.354) (0.000,0.260) (0.000,0.296) (0.000,0.234) (0.000,0.403) (0.000,0.251) (0.000,0.258) (0.000,0.295) (0.000,0.258) (0.000,0.262) (0.000,0.335) (0.000,0.277) (0.000,0.335) (0.000,0.350) 
 35     3218    (0)   15 :  0.057 0.048 0.053 0.070 0.071 0.051 0.066 0.042 0.048 0.062 0.064 0.063 0.066 0.084 0.057 0.042 0.057     (0.000,0.280) (0.000,0.237) (0.000,0.266) (0.000,0.339) (0.000,0.347) (0.000,0.253) (0.000,0.325) (0.000,0.209) (0.000,0.237) (0.000,0.309) (0.000,0.315) (0.000,0.314) (0.000,0.326) (0.000,0.404) (0.000,0.286) (0.000,0.209) (0.000,0.284) 
 36     3159    (0)   14 :  0.102 0.045 0.038 0.041 0.068 0.060 0.056 0.056 0.051 0.056 0.089 0.058 0.074 0.075 0.051 0.044 0.037     (0.000,0.440) (0.000,0.223) (0.000,0.190) (0.000,0.205) (0.000,0.334) (0.000,0.297) (0.000,0.281) (0.000,0.275) (0.000,0.253) (0.000,0.280) (0.000,0.419) (0.000,0.287) (0.000,0.360) (0.000,0.366) (0.000,0.258) (0.000,0.219) (0.000,0.184) 
 39      667    (0)   15 :  0.033 0.039 0.070 0.061 0.065 0.052 0.074 0.048 0.053 0.062 0.053 0.052 0.053 0.067 0.098 0.059 0.060     (0.000,0.165) (0.000,0.197) (0.000,0.343) (0.000,0.303) (0.000,0.319) (0.000,0.261) (0.000,0.364) (0.000,0.241) (0.000,0.262) (0.000,0.308) (0.000,0.264) (0.000,0.262) (0.000,0.268) (0.000,0.326) (0.000,0.455) (0.000,0.293) (0.000,0.298) 
 40     1496    (0)    2 :  0.035 0.048 0.055 0.055 0.050 0.069 0.065 0.076 0.065 0.071 0.076 0.068 0.059 0.045 0.072 0.046 0.046     (0.000,0.175) (0.000,0.240) (0.000,0.273) (0.000,0.273) (0.000,0.249) (0.000,0.335) (0.000,0.324) (0.000,0.359) (0.000,0.311) (0.000,0.341) (0.000,0.370) (0.000,0.335) (0.000,0.293) (0.000,0.225) (0.000,0.354) (0.000,0.229) (0.000,0.232) 
 41      648    (0)    7 :  0.042 0.046 0.064 0.074 0.053 0.070 0.064 0.048 0.036 0.072 0.073 0.050 0.053 0.049 0.089 0.059 0.059     (0.000,0.208) (0.000,0.227) (0.000,0.319) (0.000,0.362) (0.000,0.265) (0.000,0.343) (0.000,0.318) (0.000,0.239) (0.000,0.178) (0.000,0.353) (0.000,0.359) (0.000,0.252) (0.000,0.268) (0.000,0.246) (0.000,0.423) (0.000,0.292) (0.000,0.294) 
